0.015 pkt: 0 | sent
2.554 ACK: 108 | received
2.554 pkt: 116 | sent
2.569 ACK: 109 | received
2.585 pkt: 117 | sent
2.601 ACK: 110 | received
2.616 pkt: 118 | sent
2.632 ACK: 111 | received
2.632 pkt: 119 | sent
2.647 ACK: 112 | received
2.663 pkt: 120 | sent
2.679 ACK: 113 | received
2.679 pkt: 121 | sent
2.694 ACK: 114 | received
2.710 pkt: 122 | sent
2.726 ACK: 115 | received
2.726 pkt: 123 | sent
2.741 ACK: 116 | received
2.757 pkt: 124 | sent
2.757 ACK: 117 | received
2.772 pkt: 125 | sent
2.788 ACK: 118 | received
2.788 pkt: 126 | sent
2.804 ACK: 119 | received
2.819 pkt: 127 | sent
2.835 ACK: 120 | received
2.835 pkt: 128 | sent
2.851 ACK: 121 | received
2.866 pkt: 129 | sent
2.882 ACK: 122 | received
2.882 pkt: 130 | sent
2.897 ACK: 123 | received
2.913 pkt: 131 | sent
2.929 ACK: 124 | received
2.929 pkt: 132 | sent
2.944 ACK: 125 | received
2.960 pkt: 133 | sent
2.975 ACK: 126 | received
2.975 pkt: 134 | sent
2.991 ACK: 127 | received
3.007 pkt: 135 | sent
3.022 ACK: 128 | received
3.022 pkt: 136 | sent
3.038 ACK: 129 | received
3.038 pkt: 137 | sent
3.054 ACK: 130 | received
3.054 pkt: 138 | sent
3.069 ACK: 131 | received
3.069 pkt: 139 | sent
3.095 ACK: 132 | received
3.095 pkt: 140 | sent
3.116 ACK: 133 | received
3.116 pkt: 141 | sent
3.131 ACK: 134 | received
3.131 pkt: 142 | sent
3.147 ACK: 135 | received
3.178 pkt: 143 | sent
3.178 ACK: 136 | received
3.194 pkt: 144 | sent
3.210 ACK: 137 | received
3.225 pkt: 145 | sent
3.225 ACK: 138 | received
3.241 pkt: 146 | sent
3.256 ACK: 139 | received
3.272 pkt: 147 | sent
3.272 ACK: 140 | received
3.288 pkt: 148 | sent
3.303 ACK: 141 | received
3.319 pkt: 149 | sent
3.319 ACK: 142 | received
3.335 pkt: 150 | sent
3.350 ACK: 143 | received
3.366 pkt: 151 | sent
3.381 ACK: 144 | received
3.381 pkt: 152 | sent
3.404 ACK: 145 | received
3.416 pkt: 153 | sent
3.421 ACK: 146 | received
3.436 pkt: 154 | sent
3.452 ACK: 147 | received
3.452 pkt: 155 | sent
3.471 ACK: 148 | received
3.479 pkt: 156 | sent
3.492 ACK: 149 | received
3.494 pkt: 157 | sent
3.510 ACK: 150 | received
3.510 pkt: 158 | sent
3.541 ACK: 151 | received
3.541 pkt: 159 | sent
3.557 ACK: 152 | received
3.557 pkt: 160 | sent
3.572 ACK: 153 | received
3.588 pkt: 161 | sent
3.603 ACK: 154 | received
3.619 pkt: 162 | sent
3.635 ACK: 155 | received
3.635 pkt: 163 | sent
3.650 ACK: 156 | received
3.666 pkt: 164 | sent
3.682 ACK: 157 | received
3.682 pkt: 165 | sent
3.697 ACK: 158 | received
3.713 pkt: 166 | sent
3.728 ACK: 159 | received
3.728 pkt: 167 | sent
3.744 ACK: 160 | received
3.760 pkt: 168 | sent
3.775 ACK: 161 | received
3.775 pkt: 169 | sent
3.791 ACK: 162 | received
3.807 pkt: 170 | sent
3.822 ACK: 163 | received
3.822 pkt: 171 | sent
3.838 ACK: 164 | received
3.853 pkt: 172 | sent
3.869 ACK: 165 | received
3.869 pkt: 173 | sent
3.885 ACK: 166 | received
3.885 pkt: 174 | sent
3.900 ACK: 167 | received
3.916 pkt: 175 | sent
3.931 ACK: 168 | received
3.931 pkt: 176 | sent
3.947 ACK: 169 | received
3.963 pkt: 177 | sent
3.978 ACK: 170 | received
3.978 pkt: 178 | sent
3.994 ACK: 171 | received
4.010 pkt: 179 | sent
4.025 ACK: 172 | received
4.025 pkt: 180 | sent
4.041 ACK: 173 | received
4.064 pkt: 181 | sent
4.078 ACK: 174 | received
4.079 pkt: 182 | sent
4.095 ACK: 175 | received
4.095 pkt: 183 | sent
4.110 ACK: 176 | received
4.110 pkt: 184 | sent
4.126 ACK: 177 | received
4.142 pkt: 185 | sent
4.157 ACK: 178 | received
4.173 pkt: 186 | sent
4.188 ACK: 179 | received
4.188 pkt: 187 | sent
4.204 ACK: 180 | received
4.220 pkt: 188 | sent
4.235 ACK: 181 | received
4.235 pkt: 189 | sent
4.251 ACK: 182 | received
4.267 pkt: 190 | sent
4.282 ACK: 183 | received
4.298 pkt: 191 | sent
4.313 ACK: 184 | received
4.313 pkt: 192 | sent
4.329 ACK: 185 | received
4.345 pkt: 193 | sent
4.360 ACK: 186 | received
4.360 pkt: 194 | sent
4.392 ACK: 187 | received
4.400 pkt: 195 | sent
4.416 ACK: 188 | received
4.420 pkt: 196 | sent
4.436 ACK: 189 | received
4.436 pkt: 197 | sent
4.467 ACK: 190 | received
4.467 pkt: 198 | sent
4.483 ACK: 191 | received
4.499 pkt: 199 | sent
4.514 ACK: 192 | received
4.530 pkt: 200 | sent
4.545 ACK: 193 | received
4.545 pkt: 201 | sent
4.561 ACK: 194 | received
4.577 pkt: 202 | sent
4.592 ACK: 195 | received
4.608 pkt: 203 | sent
4.624 ACK: 196 | received
4.639 pkt: 204 | sent
4.655 ACK: 197 | received
4.655 pkt: 205 | sent
4.670 ACK: 198 | received
4.686 pkt: 206 | sent
4.702 ACK: 199 | received
4.717 pkt: 207 | sent
4.733 ACK: 200 | received
4.733 pkt: 208 | sent
4.749 ACK: 201 | received
4.764 pkt: 209 | sent
4.780 ACK: 202 | received
4.780 pkt: 210 | sent
4.811 ACK: 203 | received
4.811 pkt: 211 | sent
4.827 ACK: 204 | received
4.842 pkt: 212 | sent
4.858 ACK: 205 | received
4.874 pkt: 213 | sent
4.889 ACK: 206 | received
4.889 pkt: 214 | sent
4.920 ACK: 207 | received
4.920 pkt: 215 | sent
4.936 ACK: 208 | received
4.952 pkt: 216 | sent
4.967 ACK: 209 | received
4.967 pkt: 217 | sent
4.983 ACK: 210 | received
4.998 pkt: 218 | sent
5.014 ACK: 211 | received
5.030 pkt: 219 | sent
5.045 ACK: 212 | received
5.045 pkt: 220 | sent
5.061 ACK: 213 | received
5.077 pkt: 221 | sent
5.092 ACK: 214 | received
5.108 pkt: 222 | sent
5.123 ACK: 215 | received
5.123 pkt: 223 | sent
5.139 ACK: 216 | received
5.139 pkt: 224 | sent
5.155 ACK: 217 | received
5.170 pkt: 225 | sent
5.186 ACK: 218 | received
5.202 pkt: 226 | sent
5.217 ACK: 219 | received
5.233 pkt: 227 | sent
5.248 ACK: 220 | received
5.248 pkt: 228 | sent
5.264 ACK: 221 | received
5.280 pkt: 229 | sent
5.295 ACK: 222 | received
5.311 pkt: 230 | sent
5.327 ACK: 223 | received
5.327 pkt: 231 | sent
5.342 ACK: 224 | received
5.358 pkt: 232 | sent
5.373 ACK: 225 | received
5.392 pkt: 233 | sent
5.407 ACK: 226 | received
5.417 pkt: 234 | sent
5.422 ACK: 227 | received
5.438 pkt: 235 | sent
5.454 ACK: 228 | received
5.469 pkt: 236 | sent
5.485 ACK: 229 | received
5.485 pkt: 237 | sent
5.516 ACK: 230 | received
5.516 pkt: 238 | sent
5.532 ACK: 231 | received
5.547 pkt: 239 | sent
5.563 ACK: 232 | received
5.579 pkt: 240 | sent
5.594 ACK: 233 | received
5.610 pkt: 241 | sent
5.626 ACK: 234 | received
5.641 pkt: 242 | sent
5.657 ACK: 235 | received
5.657 pkt: 243 | sent
5.672 ACK: 236 | received
5.688 pkt: 244 | sent
5.704 ACK: 237 | received
5.719 pkt: 245 | sent
5.735 ACK: 238 | received
5.751 pkt: 246 | sent
5.766 ACK: 239 | received
5.766 pkt: 247 | sent
5.797 ACK: 240 | received
5.797 pkt: 248 | sent
5.813 ACK: 241 | received
5.829 pkt: 249 | sent
5.844 ACK: 242 | received
5.860 pkt: 250 | sent
5.875 ACK: 243 | received
5.875 pkt: 251 | sent
5.891 ACK: 244 | received
5.907 pkt: 252 | sent
5.922 ACK: 245 | received
5.938 pkt: 253 | sent
5.954 ACK: 246 | received
5.969 pkt: 254 | sent
5.985 ACK: 247 | received
5.985 pkt: 255 | sent
6.016 ACK: 248 | received
6.016 pkt: 256 | sent
6.032 ACK: 249 | received
6.047 pkt: 257 | sent
6.063 ACK: 250 | received
6.063 pkt: 258 | sent
6.094 ACK: 251 | received
6.094 pkt: 259 | sent
6.113 ACK: 252 | received
6.129 pkt: 260 | sent
6.129 ACK: 253 | received
6.145 pkt: 261 | sent
6.145 ACK: 254 | received
6.160 pkt: 262 | sent
6.176 ACK: 255 | received
6.191 pkt: 263 | sent
6.207 ACK: 256 | received
6.207 pkt: 264 | sent
6.223 ACK: 257 | received
6.238 pkt: 265 | sent
6.254 ACK: 258 | received
6.254 pkt: 266 | sent
6.269 ACK: 259 | received
6.285 pkt: 267 | sent
6.301 ACK: 260 | received
6.316 pkt: 268 | sent
6.332 ACK: 261 | received
6.332 pkt: 269 | sent
6.348 ACK: 262 | received
6.363 pkt: 270 | sent
6.379 ACK: 263 | received
6.379 pkt: 271 | sent
6.400 ACK: 264 | received
6.410 pkt: 272 | sent
6.421 ACK: 265 | received
6.421 pkt: 273 | sent
6.436 ACK: 266 | received
6.452 pkt: 274 | sent
6.468 ACK: 267 | received
6.468 pkt: 275 | sent
6.483 ACK: 268 | received
6.499 pkt: 276 | sent
6.514 ACK: 269 | received
6.514 pkt: 277 | sent
6.530 ACK: 270 | received
6.546 pkt: 278 | sent
6.561 ACK: 271 | received
6.577 pkt: 279 | sent
6.593 ACK: 272 | received
6.593 pkt: 280 | sent
6.608 ACK: 273 | received
6.624 pkt: 281 | sent
6.639 ACK: 274 | received
6.639 pkt: 282 | sent
6.671 ACK: 275 | received
6.671 pkt: 283 | sent
6.686 ACK: 276 | received
6.702 pkt: 284 | sent
6.717 ACK: 277 | received
6.717 pkt: 285 | sent
6.733 ACK: 278 | received
6.749 pkt: 286 | sent
6.764 ACK: 279 | received
6.764 pkt: 287 | sent
6.780 ACK: 280 | received
6.796 pkt: 288 | sent
6.811 ACK: 281 | received
6.811 pkt: 289 | sent
6.827 ACK: 282 | received
6.842 pkt: 290 | sent
6.858 ACK: 283 | received
6.858 pkt: 291 | sent
6.889 ACK: 284 | received
6.889 pkt: 292 | sent
6.905 ACK: 285 | received
6.921 pkt: 293 | sent
6.936 ACK: 286 | received
6.936 pkt: 294 | sent
6.952 ACK: 287 | received
6.967 pkt: 295 | sent
6.983 ACK: 288 | received
6.983 pkt: 296 | sent
6.999 ACK: 289 | received
7.014 pkt: 297 | sent
7.030 ACK: 290 | received
7.030 pkt: 298 | sent
7.046 ACK: 291 | received
7.061 pkt: 299 | sent
7.077 ACK: 292 | received
7.092 pkt: 300 | sent
7.108 ACK: 293 | received
7.118 pkt: 301 | sent
7.134 ACK: 294 | received
7.134 pkt: 302 | sent
7.149 ACK: 295 | received
7.165 pkt: 303 | sent
7.165 ACK: 296 | received
7.180 pkt: 304 | sent
7.196 ACK: 297 | received
7.196 pkt: 305 | sent
7.212 ACK: 298 | received
7.212 pkt: 306 | sent
7.227 ACK: 299 | received
7.227 pkt: 307 | sent
7.243 ACK: 300 | received
7.259 pkt: 308 | sent
7.274 ACK: 301 | received
7.274 pkt: 309 | sent
7.290 ACK: 302 | received
7.305 pkt: 310 | sent
7.321 ACK: 303 | received
7.337 pkt: 311 | sent
7.337 ACK: 304 | received
7.352 pkt: 312 | sent
7.368 ACK: 305 | received
7.384 pkt: 313 | sent
7.401 ACK: 306 | received
7.408 pkt: 314 | sent
7.424 ACK: 307 | received
7.426 pkt: 315 | sent
7.442 ACK: 308 | received
7.442 pkt: 316 | sent
7.457 ACK: 309 | received
7.473 pkt: 317 | sent
7.489 ACK: 310 | received
7.489 pkt: 318 | sent
7.504 ACK: 311 | received
7.520 pkt: 319 | sent
7.535 ACK: 312 | received
7.551 pkt: 320 | sent
7.567 ACK: 313 | received
7.567 pkt: 321 | sent
7.582 ACK: 314 | received
7.598 pkt: 322 | sent
7.614 ACK: 315 | received
7.629 pkt: 323 | sent
7.645 ACK: 316 | received
7.645 pkt: 324 | sent
7.660 ACK: 317 | received
7.660 pkt: 325 | sent
7.676 ACK: 318 | received
7.692 pkt: 326 | sent
7.707 ACK: 319 | received
7.723 pkt: 327 | sent
7.738 ACK: 320 | received
7.738 pkt: 328 | sent
7.754 ACK: 321 | received
7.770 pkt: 329 | sent
7.785 ACK: 322 | received
7.785 pkt: 330 | sent
7.817 ACK: 323 | received
7.817 pkt: 331 | sent
7.832 ACK: 324 | received
7.848 pkt: 332 | sent
7.879 ACK: 325 | received
7.879 pkt: 333 | sent
7.895 ACK: 326 | received
7.910 pkt: 334 | sent
7.926 ACK: 327 | received
7.926 pkt: 335 | sent
7.954 ACK: 328 | received
7.962 pkt: 336 | sent
7.962 ACK: 329 | received
7.978 pkt: 337 | sent
7.993 ACK: 330 | received
8.009 pkt: 338 | sent
8.024 ACK: 331 | received
8.024 pkt: 339 | sent
8.040 ACK: 332 | received
8.056 pkt: 340 | sent
8.071 ACK: 333 | received
8.087 pkt: 341 | sent
8.101 ACK: 334 | received
8.101 pkt: 342 | sent
8.133 ACK: 335 | received
8.133 pkt: 343 | sent
8.164 ACK: 336 | received
8.179 pkt: 344 | sent
8.179 ACK: 337 | received
8.195 pkt: 345 | sent
8.211 ACK: 338 | received
8.211 pkt: 346 | sent
8.226 ACK: 339 | received
8.242 pkt: 347 | sent
8.257 ACK: 340 | received
8.273 pkt: 348 | sent
8.289 ACK: 341 | received
8.289 pkt: 349 | sent
8.304 ACK: 342 | received
8.320 pkt: 350 | sent
8.336 ACK: 343 | received
8.351 pkt: 351 | sent
8.351 ACK: 344 | received
8.367 pkt: 352 | sent
8.382 ACK: 345 | received
8.399 pkt: 353 | sent
8.414 ACK: 346 | received
8.423 pkt: 354 | sent
8.438 ACK: 347 | received
8.448 pkt: 355 | sent
8.460 ACK: 348 | received
8.460 pkt: 356 | sent
8.476 ACK: 349 | received
8.491 pkt: 357 | sent
8.507 ACK: 350 | received
8.507 pkt: 358 | sent
8.523 ACK: 351 | received
8.538 pkt: 359 | sent
8.554 ACK: 352 | received
8.570 pkt: 360 | sent
8.585 ACK: 353 | received
8.585 pkt: 361 | sent
8.601 ACK: 354 | received
8.616 pkt: 362 | sent
8.632 ACK: 355 | received
8.648 pkt: 363 | sent
8.663 ACK: 356 | received
8.663 pkt: 364 | sent
8.679 ACK: 357 | received
8.695 pkt: 365 | sent
8.710 ACK: 358 | received
8.726 pkt: 366 | sent
8.741 ACK: 359 | received
8.741 pkt: 367 | sent
8.757 ACK: 360 | received
8.773 pkt: 368 | sent
8.788 ACK: 361 | received
8.788 pkt: 369 | sent
8.804 ACK: 362 | received
8.820 pkt: 370 | sent
8.835 ACK: 363 | received
8.835 pkt: 371 | sent
8.851 ACK: 364 | received
8.866 pkt: 372 | sent
8.882 ACK: 365 | received
8.898 pkt: 373 | sent
8.898 ACK: 366 | received
8.913 pkt: 374 | sent
8.929 ACK: 367 | received
8.944 pkt: 375 | sent
8.944 ACK: 368 | received
8.960 pkt: 376 | sent
8.976 ACK: 369 | received
8.991 pkt: 377 | sent
9.007 ACK: 370 | received
9.007 pkt: 378 | sent
9.038 ACK: 371 | received
9.038 pkt: 379 | sent
9.054 ACK: 372 | received
9.069 pkt: 380 | sent
9.085 ACK: 373 | received
9.101 pkt: 381 | sent
9.116 ACK: 374 | received
9.116 pkt: 382 | sent
9.132 ACK: 375 | received
9.148 pkt: 383 | sent
9.163 ACK: 376 | received
9.163 pkt: 384 | sent
9.179 ACK: 377 | received
9.179 pkt: 385 | sent
9.194 ACK: 378 | received
9.194 pkt: 386 | sent
9.210 ACK: 379 | received
9.226 pkt: 387 | sent
9.241 ACK: 380 | received
9.257 pkt: 388 | sent
9.267 ACK: 381 | received
9.267 pkt: 389 | sent
9.283 ACK: 382 | received
9.299 pkt: 390 | sent
9.314 ACK: 383 | received
9.330 pkt: 391 | sent
9.346 ACK: 384 | received
9.346 pkt: 392 | sent
9.361 ACK: 385 | received
9.377 pkt: 393 | sent
9.396 ACK: 386 | received
9.405 pkt: 394 | sent
9.421 ACK: 387 | received
9.421 pkt: 395 | sent
9.436 ACK: 388 | received
9.455 pkt: 396 | sent
9.459 ACK: 389 | received
9.475 pkt: 397 | sent
9.491 ACK: 390 | received
9.491 pkt: 398 | sent
9.506 ACK: 391 | received
9.522 pkt: 399 | sent
9.538 ACK: 392 | received
9.538 pkt: 400 | sent
9.553 ACK: 393 | received
9.569 pkt: 401 | sent
9.600 ACK: 394 | received
9.628 pkt: 402 | sent
9.661 ACK: 395 | received
9.671 pkt: 403 | sent
9.687 ACK: 396 | received
9.687 pkt: 404 | sent
9.702 ACK: 397 | received
9.718 pkt: 405 | sent
9.733 ACK: 398 | received
9.733 pkt: 406 | sent
9.749 ACK: 399 | received
9.765 pkt: 407 | sent
9.780 ACK: 400 | received
9.780 pkt: 408 | sent
9.796 ACK: 401 | received
9.812 pkt: 409 | sent
9.827 ACK: 402 | received
9.827 pkt: 410 | sent
9.843 ACK: 403 | received
9.858 pkt: 411 | sent
9.874 ACK: 404 | received
9.890 pkt: 412 | sent
9.905 ACK: 405 | received
9.905 pkt: 413 | sent
9.921 ACK: 406 | received
9.936 pkt: 414 | sent
9.952 ACK: 407 | received
9.968 pkt: 415 | sent
9.968 ACK: 408 | received
9.983 pkt: 416 | sent
9.999 ACK: 409 | received
10.015 pkt: 417 | sent
10.030 ACK: 410 | received
10.030 pkt: 418 | sent
10.046 ACK: 411 | received
10.061 pkt: 419 | sent
10.077 ACK: 412 | received
10.077 pkt: 420 | sent
10.093 ACK: 413 | received
10.108 pkt: 421 | sent
10.133 ACK: 414 | received
10.133 pkt: 422 | sent
10.149 ACK: 415 | received
10.164 pkt: 423 | sent
10.180 ACK: 416 | received
10.196 pkt: 424 | sent
10.196 ACK: 417 | received
10.211 pkt: 425 | sent
10.211 ACK: 418 | received
10.227 pkt: 426 | sent
10.242 ACK: 419 | received
10.242 pkt: 427 | sent
10.258 ACK: 420 | received
10.258 pkt: 428 | sent
10.274 ACK: 421 | received
10.289 pkt: 429 | sent
10.289 ACK: 422 | received
10.305 pkt: 430 | sent
10.321 ACK: 423 | received
10.336 pkt: 431 | sent
10.336 ACK: 424 | received
10.352 pkt: 432 | sent
10.367 ACK: 425 | received
10.383 pkt: 433 | sent
10.399 ACK: 426 | received
10.408 pkt: 434 | sent
10.423 ACK: 427 | received
10.426 pkt: 435 | sent
10.441 ACK: 428 | received
10.441 pkt: 436 | sent
10.457 ACK: 429 | received
10.478 pkt: 437 | sent
10.493 ACK: 430 | received
10.494 pkt: 438 | sent
10.510 ACK: 431 | received
10.525 pkt: 439 | sent
10.541 ACK: 432 | received
10.556 pkt: 440 | sent
10.586 ACK: 433 | received
10.622 pkt: 441 | sent
10.700 ACK: 434 | received
10.700 pkt: 442 | sent
10.716 ACK: 435 | received
10.732 pkt: 443 | sent
10.747 ACK: 436 | received
10.747 pkt: 444 | sent
10.763 ACK: 437 | received
10.778 pkt: 445 | sent
10.794 ACK: 438 | received
10.794 pkt: 446 | sent
10.825 ACK: 439 | received
10.825 pkt: 447 | sent
10.841 ACK: 440 | received
10.856 pkt: 448 | sent
10.872 ACK: 441 | received
10.872 pkt: 449 | sent
10.888 ACK: 442 | received
10.903 pkt: 450 | sent
10.919 ACK: 443 | received
10.919 pkt: 451 | sent
10.935 ACK: 444 | received
10.950 pkt: 452 | sent
10.966 ACK: 445 | received
10.966 pkt: 453 | sent
10.981 ACK: 446 | received
10.997 pkt: 454 | sent
11.013 ACK: 447 | received
11.028 pkt: 455 | sent
11.044 ACK: 448 | received
11.060 pkt: 456 | sent
11.072 ACK: 449 | received
11.113 pkt: 457 | sent
11.123 ACK: 450 | received
11.139 pkt: 458 | sent
11.154 ACK: 451 | received
11.170 pkt: 459 | sent
11.185 ACK: 452 | received
11.185 pkt: 460 | sent
11.201 ACK: 453 | received
11.217 pkt: 461 | sent
11.232 ACK: 454 | received
11.232 pkt: 462 | sent
11.248 ACK: 455 | received
11.248 pkt: 463 | sent
11.273 ACK: 456 | received
11.276 pkt: 464 | sent
11.291 ACK: 457 | received
11.291 pkt: 465 | sent
11.307 ACK: 458 | received
11.323 pkt: 466 | sent
11.338 ACK: 459 | received
11.338 pkt: 467 | sent
11.354 ACK: 460 | received
11.370 pkt: 468 | sent
11.391 ACK: 461 | received
11.404 pkt: 469 | sent
11.410 ACK: 462 | received
11.426 pkt: 470 | sent
11.449 ACK: 463 | received
11.451 pkt: 471 | sent
11.467 ACK: 464 | received
11.483 pkt: 472 | sent
11.498 ACK: 465 | received
11.498 pkt: 473 | sent
11.514 ACK: 466 | received
11.529 pkt: 474 | sent
11.545 ACK: 467 | received
11.561 pkt: 475 | sent
11.576 ACK: 468 | received
11.592 pkt: 476 | sent
11.608 ACK: 469 | received
11.628 pkt: 477 | sent
11.631 ACK: 470 | received
11.647 pkt: 478 | sent
11.663 ACK: 471 | received
11.678 pkt: 479 | sent
11.694 ACK: 472 | received
11.710 pkt: 480 | sent
11.725 ACK: 473 | received
11.725 pkt: 481 | sent
11.741 ACK: 474 | received
11.756 pkt: 482 | sent
11.772 ACK: 475 | received
11.788 pkt: 483 | sent
11.803 ACK: 476 | received
11.803 pkt: 484 | sent
11.866 ACK: 477 | received
11.895 pkt: 485 | sent
