0.012 pkt: 0 | received
3.222 ACK: 145 | sent
3.238 pkt: 146 | received
3.253 ACK: 146 | sent
3.269 pkt: 147 | received
3.269 ACK: 147 | sent
3.285 pkt: 148 | received
3.300 ACK: 148 | sent
3.316 pkt: 149 | received
3.316 ACK: 149 | sent
3.332 pkt: 150 | received
3.347 ACK: 150 | sent
3.363 pkt: 151 | received
3.378 ACK: 151 | sent
3.378 pkt: 152 | received
3.401 ACK: 152 | sent
3.417 pkt: 153 | received
3.418 ACK: 153 | sent
3.433 pkt: 154 | received
3.449 ACK: 154 | sent
3.449 pkt: 155 | received
3.468 ACK: 155 | sent
3.480 pkt: 156 | received
3.489 ACK: 156 | sent
3.491 pkt: 157 | received
3.507 ACK: 157 | sent
3.522 pkt: 158 | received
3.538 ACK: 158 | sent
3.538 pkt: 159 | received
3.554 ACK: 159 | sent
3.569 pkt: 160 | received
3.585 ACK: 160 | sent
3.600 pkt: 161 | received
3.600 ACK: 161 | sent
3.616 pkt: 162 | received
3.632 ACK: 162 | sent
3.647 pkt: 163 | received
3.663 ACK: 163 | sent
3.679 pkt: 164 | received
3.679 ACK: 164 | sent
3.694 pkt: 165 | received
3.710 ACK: 165 | sent
3.725 pkt: 166 | received
3.725 ACK: 166 | sent
3.741 pkt: 167 | received
3.757 ACK: 167 | sent
3.772 pkt: 168 | received
3.772 ACK: 168 | sent
3.788 pkt: 169 | received
3.788 ACK: 169 | sent
3.819 pkt: 170 | received
3.819 ACK: 170 | sent
3.835 pkt: 171 | received
3.850 ACK: 171 | sent
3.866 pkt: 172 | received
3.866 ACK: 172 | sent
3.882 pkt: 173 | received
3.897 ACK: 173 | sent
3.913 pkt: 174 | received
3.913 ACK: 174 | sent
3.928 pkt: 175 | received
3.928 ACK: 175 | sent
3.944 pkt: 176 | received
3.960 ACK: 176 | sent
3.975 pkt: 177 | received
3.975 ACK: 177 | sent
3.991 pkt: 178 | received
4.007 ACK: 178 | sent
4.022 pkt: 179 | received
4.022 ACK: 179 | sent
4.038 pkt: 180 | received
4.058 ACK: 180 | sent
4.073 pkt: 181 | received
4.076 ACK: 181 | sent
4.092 pkt: 182 | received
4.092 ACK: 182 | sent
4.107 pkt: 183 | received
4.107 ACK: 183 | sent
4.123 pkt: 184 | received
4.139 ACK: 184 | sent
4.154 pkt: 185 | received
4.154 ACK: 185 | sent
4.170 pkt: 186 | received
4.185 ACK: 186 | sent
4.201 pkt: 187 | received
4.201 ACK: 187 | sent
4.217 pkt: 188 | received
4.232 ACK: 188 | sent
4.248 pkt: 189 | received
4.248 ACK: 189 | sent
4.264 pkt: 190 | received
4.279 ACK: 190 | sent
4.295 pkt: 191 | received
4.310 ACK: 191 | sent
4.326 pkt: 192 | received
4.326 ACK: 192 | sent
4.342 pkt: 193 | received
4.357 ACK: 193 | sent
4.373 pkt: 194 | received
4.393 ACK: 194 | sent
4.409 pkt: 195 | received
4.417 ACK: 195 | sent
4.418 pkt: 196 | received
4.433 ACK: 196 | sent
4.449 pkt: 197 | received
4.464 ACK: 197 | sent
4.480 pkt: 198 | received
4.480 ACK: 198 | sent
4.496 pkt: 199 | received
4.511 ACK: 199 | sent
4.527 pkt: 200 | received
4.542 ACK: 200 | sent
4.558 pkt: 201 | received
4.558 ACK: 201 | sent
4.589 pkt: 202 | received
4.589 ACK: 202 | sent
4.605 pkt: 203 | received
4.621 ACK: 203 | sent
4.636 pkt: 204 | received
4.652 ACK: 204 | sent
4.667 pkt: 205 | received
4.667 ACK: 205 | sent
4.699 pkt: 206 | received
4.699 ACK: 206 | sent
4.714 pkt: 207 | received
4.730 ACK: 207 | sent
4.746 pkt: 208 | received
4.746 ACK: 208 | sent
4.761 pkt: 209 | received
4.777 ACK: 209 | sent
4.792 pkt: 210 | received
4.808 ACK: 210 | sent
4.824 pkt: 211 | received
4.824 ACK: 211 | sent
4.839 pkt: 212 | received
4.855 ACK: 212 | sent
4.871 pkt: 213 | received
4.886 ACK: 213 | sent
4.902 pkt: 214 | received
4.902 ACK: 214 | sent
4.917 pkt: 215 | received
4.933 ACK: 215 | sent
4.949 pkt: 216 | received
4.964 ACK: 216 | sent
4.980 pkt: 217 | received
4.980 ACK: 217 | sent
4.995 pkt: 218 | received
5.011 ACK: 218 | sent
5.027 pkt: 219 | received
5.042 ACK: 219 | sent
5.058 pkt: 220 | received
5.058 ACK: 220 | sent
5.074 pkt: 221 | received
5.089 ACK: 221 | sent
5.105 pkt: 222 | received
5.120 ACK: 222 | sent
5.120 pkt: 223 | received
5.136 ACK: 223 | sent
5.152 pkt: 224 | received
5.152 ACK: 224 | sent
5.167 pkt: 225 | received
5.183 ACK: 225 | sent
5.199 pkt: 226 | received
5.199 ACK: 226 | sent
5.230 pkt: 227 | received
5.230 ACK: 227 | sent
5.261 pkt: 228 | received
5.261 ACK: 228 | sent
5.277 pkt: 229 | received
5.292 ACK: 229 | sent
5.308 pkt: 230 | received
5.324 ACK: 230 | sent
5.339 pkt: 231 | received
5.339 ACK: 231 | sent
5.355 pkt: 232 | received
5.370 ACK: 232 | sent
5.394 pkt: 233 | received
5.403 ACK: 233 | sent
5.419 pkt: 234 | received
5.419 ACK: 234 | sent
5.435 pkt: 235 | received
5.451 ACK: 235 | sent
5.466 pkt: 236 | received
5.482 ACK: 236 | sent
5.498 pkt: 237 | received
5.498 ACK: 237 | sent
5.529 pkt: 238 | received
5.529 ACK: 238 | sent
5.544 pkt: 239 | received
5.560 ACK: 239 | sent
5.576 pkt: 240 | received
5.591 ACK: 240 | sent
5.607 pkt: 241 | received
5.623 ACK: 241 | sent
5.638 pkt: 242 | received
5.654 ACK: 242 | sent
5.669 pkt: 243 | received
5.669 ACK: 243 | sent
5.685 pkt: 244 | received
5.701 ACK: 244 | sent
5.716 pkt: 245 | received
5.732 ACK: 245 | sent
5.748 pkt: 246 | received
5.763 ACK: 246 | sent
5.779 pkt: 247 | received
5.779 ACK: 247 | sent
5.810 pkt: 248 | received
5.810 ACK: 248 | sent
5.826 pkt: 249 | received
5.841 ACK: 249 | sent
5.857 pkt: 250 | received
5.872 ACK: 250 | sent
5.888 pkt: 251 | received
5.888 ACK: 251 | sent
5.919 pkt: 252 | received
5.919 ACK: 252 | sent
5.935 pkt: 253 | received
5.951 ACK: 253 | sent
5.966 pkt: 254 | received
5.982 ACK: 254 | sent
5.997 pkt: 255 | received
5.997 ACK: 255 | sent
6.013 pkt: 256 | received
6.029 ACK: 256 | sent
6.044 pkt: 257 | received
6.060 ACK: 257 | sent
6.076 pkt: 258 | received
6.091 ACK: 258 | sent
6.109 pkt: 259 | received
6.110 ACK: 259 | sent
6.126 pkt: 260 | received
6.126 ACK: 260 | sent
6.142 pkt: 261 | received
6.142 ACK: 261 | sent
6.173 pkt: 262 | received
6.173 ACK: 262 | sent
6.188 pkt: 263 | received
6.204 ACK: 263 | sent
6.204 pkt: 264 | received
6.220 ACK: 264 | sent
6.235 pkt: 265 | received
6.251 ACK: 265 | sent
6.266 pkt: 266 | received
6.266 ACK: 266 | sent
6.298 pkt: 267 | received
6.298 ACK: 267 | sent
6.313 pkt: 268 | received
6.329 ACK: 268 | sent
6.345 pkt: 269 | received
6.345 ACK: 269 | sent
6.360 pkt: 270 | received
6.376 ACK: 270 | sent
6.376 pkt: 271 | received
6.397 ACK: 271 | sent
6.412 pkt: 272 | received
6.418 ACK: 272 | sent
6.433 pkt: 273 | received
6.433 ACK: 273 | sent
6.449 pkt: 274 | received
6.465 ACK: 274 | sent
6.480 pkt: 275 | received
6.480 ACK: 275 | sent
6.496 pkt: 276 | received
6.511 ACK: 276 | sent
6.527 pkt: 277 | received
6.527 ACK: 277 | sent
6.543 pkt: 278 | received
6.558 ACK: 278 | sent
6.574 pkt: 279 | received
6.590 ACK: 279 | sent
6.590 pkt: 280 | received
6.605 ACK: 280 | sent
6.621 pkt: 281 | received
6.636 ACK: 281 | sent
6.652 pkt: 282 | received
6.652 ACK: 282 | sent
6.668 pkt: 283 | received
6.683 ACK: 283 | sent
6.699 pkt: 284 | received
6.715 ACK: 284 | sent
6.730 pkt: 285 | received
6.730 ACK: 285 | sent
6.746 pkt: 286 | received
6.761 ACK: 286 | sent
6.777 pkt: 287 | received
6.777 ACK: 287 | sent
6.793 pkt: 288 | received
6.808 ACK: 288 | sent
6.824 pkt: 289 | received
6.824 ACK: 289 | sent
6.839 pkt: 290 | received
6.855 ACK: 290 | sent
6.871 pkt: 291 | received
6.871 ACK: 291 | sent
6.886 pkt: 292 | received
6.902 ACK: 292 | sent
6.918 pkt: 293 | received
6.933 ACK: 293 | sent
6.949 pkt: 294 | received
6.949 ACK: 294 | sent
6.964 pkt: 295 | received
6.980 ACK: 295 | sent
6.996 pkt: 296 | received
6.996 ACK: 296 | sent
7.011 pkt: 297 | received
7.027 ACK: 297 | sent
7.043 pkt: 298 | received
7.043 ACK: 298 | sent
7.058 pkt: 299 | received
7.074 ACK: 299 | sent
7.089 pkt: 300 | received
7.105 ACK: 300 | sent
7.115 pkt: 301 | received
7.131 ACK: 301 | sent
7.146 pkt: 302 | received
7.146 ACK: 302 | sent
7.162 pkt: 303 | received
7.162 ACK: 303 | sent
7.177 pkt: 304 | received
7.193 ACK: 304 | sent
7.193 pkt: 305 | received
7.209 ACK: 305 | sent
7.224 pkt: 306 | received
7.224 ACK: 306 | sent
7.240 pkt: 307 | received
7.240 ACK: 307 | sent
7.256 pkt: 308 | received
7.271 ACK: 308 | sent
7.287 pkt: 309 | received
7.287 ACK: 309 | sent
7.302 pkt: 310 | received
7.318 ACK: 310 | sent
7.334 pkt: 311 | received
7.349 ACK: 311 | sent
7.365 pkt: 312 | received
7.365 ACK: 312 | sent
7.381 pkt: 313 | received
7.401 ACK: 313 | sent
7.417 pkt: 314 | received
7.423 ACK: 314 | sent
7.439 pkt: 315 | received
7.439 ACK: 315 | sent
7.454 pkt: 316 | received
7.470 ACK: 316 | sent
7.486 pkt: 317 | received
7.486 ACK: 317 | sent
7.501 pkt: 318 | received
7.517 ACK: 318 | sent
7.532 pkt: 319 | received
7.532 ACK: 319 | sent
7.548 pkt: 320 | received
7.564 ACK: 320 | sent
7.579 pkt: 321 | received
7.595 ACK: 321 | sent
7.611 pkt: 322 | received
7.611 ACK: 322 | sent
7.626 pkt: 323 | received
7.642 ACK: 323 | sent
7.657 pkt: 324 | received
7.657 ACK: 324 | sent
7.673 pkt: 325 | received
7.689 ACK: 325 | sent
7.704 pkt: 326 | received
7.720 ACK: 326 | sent
7.720 pkt: 327 | received
7.735 ACK: 327 | sent
7.751 pkt: 328 | received
7.767 ACK: 328 | sent
7.767 pkt: 329 | received
7.782 ACK: 329 | sent
7.798 pkt: 330 | received
7.814 ACK: 330 | sent
7.814 pkt: 331 | received
7.829 ACK: 331 | sent
7.845 pkt: 332 | received
7.860 ACK: 332 | sent
7.892 pkt: 333 | received
7.892 ACK: 333 | sent
7.907 pkt: 334 | received
7.923 ACK: 334 | sent
7.939 pkt: 335 | received
7.950 ACK: 335 | sent
7.959 pkt: 336 | received
7.959 ACK: 336 | sent
7.975 pkt: 337 | received
7.990 ACK: 337 | sent
8.006 pkt: 338 | received
8.021 ACK: 338 | sent
8.037 pkt: 339 | received
8.037 ACK: 339 | sent
8.053 pkt: 340 | received
8.068 ACK: 340 | sent
8.084 pkt: 341 | received
8.098 ACK: 341 | sent
8.114 pkt: 342 | received
8.130 ACK: 342 | sent
8.130 pkt: 343 | received
8.145 ACK: 343 | sent
8.176 pkt: 344 | received
8.176 ACK: 344 | sent
8.192 pkt: 345 | received
8.208 ACK: 345 | sent
8.223 pkt: 346 | received
8.239 ACK: 346 | sent
8.239 pkt: 347 | received
8.254 ACK: 347 | sent
8.270 pkt: 348 | received
8.286 ACK: 348 | sent
8.301 pkt: 349 | received
8.301 ACK: 349 | sent
8.317 pkt: 350 | received
8.333 ACK: 350 | sent
8.348 pkt: 351 | received
8.348 ACK: 351 | sent
8.364 pkt: 352 | received
8.379 ACK: 352 | sent
8.400 pkt: 353 | received
8.411 ACK: 353 | sent
8.427 pkt: 354 | received
8.436 ACK: 354 | sent
8.451 pkt: 355 | received
8.457 ACK: 355 | sent
8.457 pkt: 356 | received
8.473 ACK: 356 | sent
8.488 pkt: 357 | received
8.504 ACK: 357 | sent
8.520 pkt: 358 | received
8.520 ACK: 358 | sent
8.535 pkt: 359 | received
8.551 ACK: 359 | sent
8.567 pkt: 360 | received
8.582 ACK: 360 | sent
8.598 pkt: 361 | received
8.598 ACK: 361 | sent
8.613 pkt: 362 | received
8.629 ACK: 362 | sent
8.645 pkt: 363 | received
8.660 ACK: 363 | sent
8.676 pkt: 364 | received
8.676 ACK: 364 | sent
8.692 pkt: 365 | received
8.707 ACK: 365 | sent
8.723 pkt: 366 | received
8.738 ACK: 366 | sent
8.754 pkt: 367 | received
8.754 ACK: 367 | sent
8.770 pkt: 368 | received
8.785 ACK: 368 | sent
8.801 pkt: 369 | received
8.801 ACK: 369 | sent
8.817 pkt: 370 | received
8.832 ACK: 370 | sent
8.848 pkt: 371 | received
8.863 ACK: 371 | sent
8.879 pkt: 372 | received
8.879 ACK: 372 | sent
8.895 pkt: 373 | received
8.910 ACK: 373 | sent
8.926 pkt: 374 | received
8.926 ACK: 374 | sent
8.941 pkt: 375 | received
8.957 ACK: 375 | sent
8.957 pkt: 376 | received
8.973 ACK: 376 | sent
8.988 pkt: 377 | received
9.004 ACK: 377 | sent
9.020 pkt: 378 | received
9.035 ACK: 378 | sent
9.051 pkt: 379 | received
9.051 ACK: 379 | sent
9.066 pkt: 380 | received
9.082 ACK: 380 | sent
9.098 pkt: 381 | received
9.113 ACK: 381 | sent
9.129 pkt: 382 | received
9.129 ACK: 382 | sent
9.145 pkt: 383 | received
9.160 ACK: 383 | sent
9.176 pkt: 384 | received
9.176 ACK: 384 | sent
9.191 pkt: 385 | received
9.191 ACK: 385 | sent
9.207 pkt: 386 | received
9.207 ACK: 386 | sent
9.238 pkt: 387 | received
9.238 ACK: 387 | sent
9.254 pkt: 388 | received
9.264 ACK: 388 | sent
9.280 pkt: 389 | received
9.280 ACK: 389 | sent
9.296 pkt: 390 | received
9.311 ACK: 390 | sent
9.327 pkt: 391 | received
9.343 ACK: 391 | sent
9.343 pkt: 392 | received
9.358 ACK: 392 | sent
9.374 pkt: 393 | received
9.394 ACK: 393 | sent
9.410 pkt: 394 | received
9.418 ACK: 394 | sent
9.433 pkt: 395 | received
9.433 ACK: 395 | sent
9.456 pkt: 396 | received
9.456 ACK: 396 | sent
9.472 pkt: 397 | received
9.488 ACK: 397 | sent
9.503 pkt: 398 | received
9.503 ACK: 398 | sent
9.519 pkt: 399 | received
9.535 ACK: 399 | sent
9.550 pkt: 400 | received
9.550 ACK: 400 | sent
9.581 pkt: 401 | received
9.597 ACK: 401 | sent
9.642 pkt: 402 | received
9.642 ACK: 402 | sent
9.668 pkt: 403 | received
9.684 ACK: 403 | sent
9.699 pkt: 404 | received
9.699 ACK: 404 | sent
9.715 pkt: 405 | received
9.730 ACK: 405 | sent
9.746 pkt: 406 | received
9.762 ACK: 406 | sent
9.762 pkt: 407 | received
9.777 ACK: 407 | sent
9.793 pkt: 408 | received
9.793 ACK: 408 | sent
9.809 pkt: 409 | received
9.824 ACK: 409 | sent
9.840 pkt: 410 | received
9.840 ACK: 410 | sent
9.855 pkt: 411 | received
9.871 ACK: 411 | sent
9.887 pkt: 412 | received
9.902 ACK: 412 | sent
9.918 pkt: 413 | received
9.918 ACK: 413 | sent
9.933 pkt: 414 | received
9.949 ACK: 414 | sent
9.965 pkt: 415 | received
9.980 ACK: 415 | sent
9.980 pkt: 416 | received
9.996 ACK: 416 | sent
10.012 pkt: 417 | received
10.027 ACK: 417 | sent
10.027 pkt: 418 | received
10.043 ACK: 418 | sent
10.058 pkt: 419 | received
10.074 ACK: 419 | sent
10.090 pkt: 420 | received
10.090 ACK: 420 | sent
10.121 pkt: 421 | received
10.130 ACK: 421 | sent
10.146 pkt: 422 | received
10.146 ACK: 422 | sent
10.161 pkt: 423 | received
10.177 ACK: 423 | sent
10.193 pkt: 424 | received
10.193 ACK: 424 | sent
10.208 pkt: 425 | received
10.208 ACK: 425 | sent
10.224 pkt: 426 | received
10.239 ACK: 426 | sent
10.239 pkt: 427 | received
10.255 ACK: 427 | sent
10.271 pkt: 428 | received
10.271 ACK: 428 | sent
10.286 pkt: 429 | received
10.302 ACK: 429 | sent
10.318 pkt: 430 | received
10.318 ACK: 430 | sent
10.333 pkt: 431 | received
10.349 ACK: 431 | sent
10.364 pkt: 432 | received
10.364 ACK: 432 | sent
10.380 pkt: 433 | received
10.401 ACK: 433 | sent
10.416 pkt: 434 | received
10.423 ACK: 434 | sent
10.438 pkt: 435 | received
10.438 ACK: 435 | sent
10.454 pkt: 436 | received
10.471 ACK: 436 | sent
10.485 pkt: 437 | received
10.491 ACK: 437 | sent
10.507 pkt: 438 | received
10.507 ACK: 438 | sent
10.538 pkt: 439 | received
10.538 ACK: 439 | sent
10.567 pkt: 440 | received
10.604 ACK: 440 | sent
10.682 pkt: 441 | received
10.682 ACK: 441 | sent
10.713 pkt: 442 | received
10.713 ACK: 442 | sent
10.729 pkt: 443 | received
10.744 ACK: 443 | sent
10.760 pkt: 444 | received
10.760 ACK: 444 | sent
10.775 pkt: 445 | received
10.791 ACK: 445 | sent
10.807 pkt: 446 | received
10.822 ACK: 446 | sent
10.822 pkt: 447 | received
10.838 ACK: 447 | sent
10.853 pkt: 448 | received
10.869 ACK: 448 | sent
10.885 pkt: 449 | received
10.885 ACK: 449 | sent
10.900 pkt: 450 | received
10.916 ACK: 450 | sent
10.932 pkt: 451 | received
10.932 ACK: 451 | sent
10.947 pkt: 452 | received
10.963 ACK: 452 | sent
10.978 pkt: 453 | received
10.978 ACK: 453 | sent
10.994 pkt: 454 | received
11.010 ACK: 454 | sent
11.025 pkt: 455 | received
11.041 ACK: 455 | sent
11.069 pkt: 456 | received
11.085 ACK: 456 | sent
11.120 pkt: 457 | received
11.120 ACK: 457 | sent
11.136 pkt: 458 | received
11.151 ACK: 458 | sent
11.167 pkt: 459 | received
11.182 ACK: 459 | sent
11.182 pkt: 460 | received
11.198 ACK: 460 | sent
11.214 pkt: 461 | received
11.229 ACK: 461 | sent
11.229 pkt: 462 | received
11.245 ACK: 462 | sent
11.245 pkt: 463 | received
11.269 ACK: 463 | sent
11.273 pkt: 464 | received
11.288 ACK: 464 | sent
11.288 pkt: 465 | received
11.304 ACK: 465 | sent
11.320 pkt: 466 | received
11.335 ACK: 466 | sent
11.351 pkt: 467 | received
11.351 ACK: 467 | sent
11.367 pkt: 468 | received
11.387 ACK: 468 | sent
11.405 pkt: 469 | received
11.407 ACK: 469 | sent
11.435 pkt: 470 | received
11.443 ACK: 470 | sent
11.448 pkt: 471 | received
11.464 ACK: 471 | sent
11.480 pkt: 472 | received
11.495 ACK: 472 | sent
11.511 pkt: 473 | received
11.511 ACK: 473 | sent
11.542 pkt: 474 | received
11.542 ACK: 474 | sent
11.558 pkt: 475 | received
11.573 ACK: 475 | sent
11.589 pkt: 476 | received
11.605 ACK: 476 | sent
11.629 pkt: 477 | received
11.629 ACK: 477 | sent
11.660 pkt: 478 | received
11.660 ACK: 478 | sent
11.675 pkt: 479 | received
11.691 ACK: 479 | sent
11.707 pkt: 480 | received
11.722 ACK: 480 | sent
11.738 pkt: 481 | received
11.738 ACK: 481 | sent
